CountryName;CountryCode;CleanFuels;ElectricityRural;ElectricityUrban;SchoolEnrollment;Date
China;CHN;;;;116.695182800293;1985.0;
India;IND;;;;87.9477233886719;1985.0;
Russian Federation;RUS;;;;103.712821960449;1985.0;
South Africa;ZAF;;;;;1985.0;
Brazil;BRA;;;;;1986.0;
China;CHN;;;;121.483489990234;1986.0;
India;IND;;;;90.0746383666992;1986.0;
Russian Federation;RUS;;;;104.966903686523;1986.0;
South Africa;ZAF;;;;80.1665573120117;1986.0;
Brazil;BRA;;;;;1987.0;
China;CHN;;;;126.15071105957;1987.0;
India;IND;;;;87.8979187011719;1987.0;
Russian Federation;RUS;;;;107.642997741699;1987.0;
South Africa;ZAF;;;;81.2630310058594;1987.0;
Brazil;BRA;;;;;1988.0;
China;CHN;;;;128.099395751953;1988.0;
India;IND;;;;89.1912002563477;1988.0;
Russian Federation;RUS;;;;108.611053466797;1988.0;
South Africa;ZAF;;;;81.1970520019531;1988.0;
Brazil;BRA;;;;;1989.0;
China;CHN;;;;128.474212646484;1989.0;
India;IND;;;;92.1417236328125;1989.0;
Russian Federation;RUS;;;;108.004409790039;1989.0;
South Africa;ZAF;;;;105.25611114502;1989.0;
Brazil;BRA;;58.9484320241383;97.538681;;1990.0;
China;CHN;;;;127.548782348633;1990.0;
India;IND;;;;91.4403076171875;1990.0;
Russian Federation;RUS;;100.0;100.0;107.991119384766;1990.0;
South Africa;ZAF;;;;104.805740356445;1990.0;
Brazil;BRA;;87.0284203742348;91.1465148925781;;1991.0;
China;CHN;;;;124.37638092041;1991.0;
India;IND;;;;91.1464996337891;1991.0;
Russian Federation;RUS;;100.0;100.0;110.33984375;1991.0;
South Africa;ZAF;;;;105.604148864746;1991.0;
Brazil;BRA;;62.0133014337249;97.523788;;1992.0;
China;CHN;;;;121.724487304688;1992.0;
India;IND;;;;91.428466796875;1992.0;
Russian Federation;RUS;;100.0;100.0;110.441360473633;1992.0;
South Africa;ZAF;;;;;1992.0;
Brazil;BRA;;64.3043978721134;98.033975;;1993.0;
China;CHN;;;;118.377227783203;1993.0;
India;IND;;39.5803384393815;82.8;93.1189270019531;1993.0;
Russian Federation;RUS;;100.0;100.0;109.481430053711;1993.0;
South Africa;ZAF;;;;;1993.0;
Brazil;BRA;;82.5525841110202;94.2216567993164;;1994.0;
China;CHN;;;;114.944488525391;1994.0;
India;IND;;35.4575405774306;86.1867065429688;94.2408905029297;1994.0;
Russian Federation;RUS;;100.0;100.0;107.176467895508;1994.0;
South Africa;ZAF;;;;109.411567687988;1994.0;
Brazil;BRA;;67.946114285024;98.589696;;1995.0;
China;CHN;;;;111.763816833496;1995.0;
India;IND;;37.4581671865987;86.6927261352539;93.9706268310547;1995.0;
Russian Federation;RUS;;100.0;100.0;107.870651245117;1995.0;
South Africa;ZAF;;;;110.88697052002;1995.0;
Brazil;BRA;;71.0417639637788;98.915038;;1996.0;
China;CHN;;;;108.074157714844;1996.0;
India;IND;;39.4755520505374;87.1815567016602;93.8493270874023;1996.0;
Russian Federation;RUS;;100.0;100.0;108.483459472656;1996.0;
South Africa;ZAF;;24.2026724633812;84.961540222168;;1996.0;
Brazil;BRA;;71.8385840283646;99.056926;;1997.0;
China;CHN;;;;105.50708770752;1997.0;
India;IND;;41.5131711797774;87.6488952636719;93.4897689819336;1997.0;
Russian Federation;RUS;;100.0;100.0;106.321800231934;1997.0;
South Africa;ZAF;;47.6718942752663;85.2706069946289;108.843223571777;1997.0;
Brazil;BRA;;74.6887052208251;99.137016;;1998.0;
China;CHN;;;;105.769371032715;1998.0;
India;IND;;43.5719865655103;88.0923767089844;91.8773880004883;1998.0;
Russian Federation;RUS;;100.0;99.9956359863281;103.748016357422;1998.0;
South Africa;ZAF;;40.4060358930021;84.2;107.464241027832;1998.0;
Brazil;BRA;;76.5073551123924;99.186252;165.645385742188;1999.0;
China;CHN;;;;;1999.0;
India;IND;;48.2933973590191;91.3;92.5626831054688;1999.0;
Russian Federation;RUS;;100.0;99.9724273681641;102.94709777832;1999.0;
South Africa;ZAF;;51.0781439863319;85.822509765625;107.097930908203;1999.0;
Brazil;BRA;86.91;71.8931120681599;99.6294174194336;;2000.0;
China;CHN;46.78;95.1766206990479;100.0;;2000.0;
India;IND;22.15;47.7249797788717;88.9310302734375;94.2711181640625;2000.0;
Russian Federation;RUS;92.69;100.0;99.9176177978516;102.79093170166;2000.0;
South Africa;ZAF;56.43;52.8434678078669;86.0779418945313;101.489212036133;2000.0;
Brazil;BRA;87.89;81.8757629639867;99.215119;150.785552978516;2001.0;
China;CHN;47.95;95.8026231475718;99.6187515258789;112.341590881348;2001.0;
India;IND;23.85;43.4835770219083;87.6;94.1149291992188;2001.0;
Russian Federation;RUS;93.36;100.0;99.837890625;106.082946777344;2001.0;
South Africa;ZAF;58.81;48.4954115183745;86.3293762207031;101.990463256836;2001.0;
Brazil;BRA;88.8;84.1179544418392;99.426994;146.827789306641;2002.0;
China;CHN;48.61;96.1932710716505;99.6327743530273;;2002.0;
India;IND;25.01;51.4939028021888;89.7537002563477;94.7455291748047;2002.0;
Russian Federation;RUS;94.07;100.0;99.7488250732422;113.945541381836;2002.0;
South Africa;ZAF;61.01;64.0576493477387;86.5840759277344;103.968452453613;2002.0;
Brazil;BRA;89.55;85.3215354534796;99.504184;140.544494628906;2003.0;
China;CHN;49.52;96.5615073679357;99.6573257446289;;2003.0;
India;IND;25.93;53.7806078615888;90.1771926879883;102.682907104492;2003.0;
Russian Federation;RUS;94.57;100.0;99.670280456543;121.051147460938;2003.0;
South Africa;ZAF;63.29;66.2820862849653;87.7;105.426368713379;2003.0;
Brazil;BRA;90.3;83.4505451004087;99.585301;133.696304321289;2004.0;
China;CHN;50.04;96.8928305027163;99.6996688842773;;2004.0;
India;IND;27.41;53.7414229035435;90.6184844970703;;2004.0;
Russian Federation;RUS;95.03;100.0;99.6095352172852;;2004.0;
South Africa;ZAF;65.6;71.9341286371531;87.13232421875;106.446632385254;2004.0;
Brazil;BRA;91.04;84.8305345115422;99.634816;133.262161254883;2005.0;
China;CHN;50.83;97.1768283162938;99.7651519775391;;2005.0;
India;IND;28.34;57.6773084652987;91.0829086303711;;2005.0;
Russian Federation;RUS;95.5;100.0;99.5719299316406;95.2262878417969;2005.0;
South Africa;ZAF;67.53;71.2797151056624;87.4384841918945;105.948272705078;2005.0;
Brazil;BRA;91.67;87.1654186720447;99.708742;;2006.0;
China;CHN;51.8;97.427928197165;99.8514556884766;100.993278503418;2006.0;
India;IND;29.74;57.3203007366693;93.1;;2006.0;
Russian Federation;RUS;95.96;100.0;99.5551376342773;94.9994583129883;2006.0;
South Africa;ZAF;69.58;70.0677349546251;87.7654647827148;106.250091552734;2006.0;
Brazil;BRA;92.17;89.7762109860306;99.781449;128.179794311523;2007.0;
China;CHN;52.5;97.6850247342449;99.9310607910156;100.707046508789;2007.0;
India;IND;30.95;61.5042934721049;92.0699920654297;110.020118713379;2007.0;
Russian Federation;RUS;96.28;100.0;99.554931640625;95.6813278198242;2007.0;
South Africa;ZAF;71.46;72.5975761603066;88.1090316772461;108.024749755859;2007.0;
Brazil;BRA;92.73;91.852255858914;99.821747;132.055206298828;2008.0;
China;CHN;53.37;97.9911150041327;99.9793014526367;100.74243927002;2008.0;
India;IND;32.06;63.4343328384121;92.5841674804688;110.697380065918;2008.0;
Russian Federation;RUS;96.64;100.0;99.5670700073242;97.5845184326172;2008.0;
South Africa;ZAF;73.35;71.5650346535941;88.4649353027344;107.526397705078;2008.0;
Brazil;BRA;93.27;93.6173981814944;99.85168;131.165161132813;2009.0;
China;CHN;54.07;98.3741144164196;99.9971466064453;100.006103515625;2009.0;
India;IND;32.82;65.7022359061516;96.1;109.451072692871;2009.0;
Russian Federation;RUS;96.93;100.0;99.5873184204102;99.3615264892578;2009.0;
South Africa;ZAF;75.04;72.8318885719266;88.8289566040039;106.341697692871;2009.0;
Brazil;BRA;93.66;93.4678453792054;100.0;;2010.0;
China;CHN;54.91;99.4091464137797;100.0;98.9642181396484;2010.0;
India;IND;34.4;68.3738236535823;94.0;109.101371765137;2010.0;
Russian Federation;RUS;97.22;100.0;99.611442565918;;2010.0;
South Africa;ZAF;76.65;67.9479513025107;91.9796600341797;104.729377746582;2010.0;
Brazil;BRA;94.07;96.1905874295669;99.898571;132.496612548828;2011.0;
China;CHN;55.66;99.7461698945212;100.0;99.0470199584961;2011.0;
India;IND;35.42;56.086077638855;92.9;108.323356628418;2011.0;
Russian Federation;RUS;97.42;100.0;99.764518737793;101.076232910156;2011.0;
South Africa;ZAF;78.21;73.4153538360434;91.4;103.418388366699;2011.0;
Brazil;BRA;94.48;97.2218134711631;99.927418;;2012.0;
China;CHN;56.4;99.9479141780843;100.0;99.7910995483398;2012.0;
India;IND;36.64;72.4040107597965;96.1;109.761299133301;2012.0;
Russian Federation;RUS;97.62;100.0;99.8100814819336;101.020629882813;2012.0;
South Africa;ZAF;79.65;76.9677349855104;90.1366958618164;103.229202270508;2012.0;
Brazil;BRA;94.77;97.5020334516603;99.935013;;2013.0;
China;CHN;57.24;100.0;100.0;99.5645980834961;2013.0;
India;IND;37.81;73.6635093484631;95.9365234375;110.583312988281;2013.0;
Russian Federation;RUS;97.81;100.0;99.6713485717773;99.7695770263672;2013.0;
South Africa;ZAF;81.0;76.7877506747487;90.2880554199219;102.670402526855;2013.0;
Brazil;BRA;95.1;97.9100770443521;99.945554;;2014.0;
China;CHN;57.8;100.0;100.0;95.7964324951172;2014.0;
India;IND;38.8;77.3026672546519;96.5469055175781;107.864410400391;2014.0;
Russian Federation;RUS;98.03;100.0;99.684440612793;97.6943206787109;2014.0;
South Africa;ZAF;82.36;77.6295638901199;90.6449203491211;102.704963684082;2014.0;
Brazil;BRA;95.38;98.2324092437609;99.956197;;2015.0;
China;CHN;58.54;100.0;100.0;96.318603515625;2015.0;
India;IND;39.88;83.3679321086777;97.5;108.485229492188;2015.0;
Russian Federation;RUS;98.15;100.0;95.1;99.0729064941406;2015.0;
South Africa;ZAF;83.64;75.3635314242526;90.9994735717773;105.570388793945;2015.0;
Brazil;BRA;95.59;98.4671299794553;99.9;;2016.0;
China;CHN;59.26;100.0;100.0;97.9619216918945;2016.0;
India;IND;41.04;85.3661261120263;98.3424224853516;114.53832244873;2016.0;
Russian Federation;RUS;98.25;100.0;99.7044830322266;99.8143920898438;2016.0;
South Africa;ZAF;84.75;70.7157223672873;91.3525009155273;103.184959411621;2016.0;
Brazil;BRA;;100.0;100.0;;2017.0;
China;CHN;;100.0;100.0;99.4048080444336;2017.0;
India;IND;;89.3166544302861;99.0885162353516;112.957862854004;2017.0;
Russian Federation;RUS;;100.0;99.7129745483398;102.582458496094;2017.0;
South Africa;ZAF;;70.3145301045502;91.7047653198242;100.864730834961;2017.0;
Brazil;BRA;;100.0;100.0;;2018.0;
China;CHN;;100.0;100.0;100.222747802734;2018.0;
India;IND;;92.9293349509066;99.7072372436523;;2018.0;
Russian Federation;RUS;;100.0;99.7213363647461;104.678817749023;2018.0;
South Africa;ZAF;;89.5988191888486;92.0568923950195;98.5389022827148;2018.0;
Brazil;BRA;;;;;2019.0;
China;CHN;;;;101.925720214844;2019.0;
India;IND;;;;96.8286819458008;2019.0;
Russian Federation;RUS;;;;;2019.0;
South Africa;ZAF;;;;;2019.0;
